dataset,model,sample_id,overall_key_findings,transcript_fidelity_score,hallucinations_count,hallucinations_severity_score,critical_omissions_score,contains_highly_critical_error,hcc_compliance_ratio_percentage,hcc_pass_fail,icd_10_specificity_score,clinical_validation_score,note_structure_organization_score,safety_risk_tier_score
Experimental Dataset,OpenAI,6,"The AI draft note is well-structured and follows the standard outpatient note format with clear headings and organization. However, there are minor ambiguities regarding the patient's vomiting and abdominal pain that could lead to misinterpretation of the urgency of the situation, warranting a low safety risk tier.",4,0,3,3,False,1.0,True,3,3,4,3
Experimental Dataset,Anthropic,6,"The AI draft follows the correct outpatient note structure (CC, HPI, ROS, PE, Results, A&P) and is generally well-organized and readable, matching the gold standard's format. Minor issues include redundant restatement of ROS-negative findings within the HPI, slightly awkward phrasing ('unpredicted weight loss' instead of 'unexplained'), and a different ordering of PE subsections (CV/Pulm/Abd/MSK vs. gold's Resp/CV/GI/MSK) — none of which constitute misplaced clinical content. From a safety standpoint, medication dosing (omeprazole 40mg daily, allopurinol 100mg daily) and refill orders are accurately transcribed with no critical omissions or dosage errors. However, the AI added an unprompted 'SAFETY FLAG' explicitly naming 'acute cholecystitis or biliary obstruction' as differential concerns — extrapolating beyond the clinician's stated concern about 'gallbladder' pathology without an explicit diagnosis. While clinically plausible given RUQ tenderness and vomiting, this specific diagnostic extrapolation was not stated by the physician and could create minor overinterpretation if signed without review, though it would likely be easily clarified by the clinician. No hallucinated allergies, contraindicated drugs, or critical dosage errors were found. Overall, the note is clinically sound with only low-level ambiguity risk.",4,1,2,3,False,1.0,True,2,3,4,3
Experimental Dataset,OpenAI,7,"The AI draft note is well-structured and follows the standard outpatient note format with clear headings and organization. However, there is a minor safety risk due to the discrepancy regarding the age of the patient at the time of CABG, which could lead to confusion if not clarified. Overall, the note is concise and professional, but attention to detail regarding patient history is necessary.",4,0,3,3,False,1.0,True,2,3,4,3
Experimental Dataset,Anthropic,7,"The AI draft note follows the correct outpatient note structure (CC, HPI, ROS, PE, Results, A&P) with clear headings and logical flow, comparable to the Gold Standard. It appropriately distinguishes between the ECG (reviewed in-visit, stable) and the newly ordered echocardiogram, which is actually more accurate than the Gold Standard note that conflated the two. Medication dosing (Prozac 40mg daily, Aspirin 81mg daily) and referral orders are documented correctly and match the transcript. The note proactively flags a verbal discrepancy from the clinician (stating CABG occurred 'at age 27' vs. the patient's clarification of infancy) via a dedicated Safety/Clinician Review Flag, demonstrating good safety awareness, though embedding this flag within the clinical note itself is a minor stylistic deviation from standard formatting. No critical safety risks, hallucinated diagnoses, or incorrect drug dosages were identified. Overall, the note is well-organized, accurate, and safe, with only minor structural/style refinements needed (e.g., redundant restatement of exam findings in the Plan, non-standard flag placement).",4,1,2,3,False,1.0,True,2,3,4,4
Experimental Dataset,OpenAI,8,"The AI draft note is well-structured and follows the standard outpatient note format with clear headings and organization. However, there are minor ambiguities regarding the patient's history and symptoms that could lead to misunderstandings during clinical sign-off, particularly in the assessment of the patient's congestive heart failure and dietary habits.",4,0,3,3,False,1.0,True,2,3,4,3
Experimental Dataset,Anthropic,8,"The AI draft note follows a clear, standard outpatient format (CC, HPI, ROS, PE, Results, A&P) with logical organization and appropriate clinical detail, closely mirroring the gold standard's content and even correctly identifying 'diverticulosis' (versus the gold standard's erroneous 'diverticulitis'). Minor structural deductions include slightly redundant ROS/HPI overlap and combining unrelated systems (Musculoskeletal/Renal) into one ROS line, which is stylistically imperfect but not clinically harmful. From a safety standpoint, all medications, dosages, and follow-up plans (Lasix 40mg, Toprol 50mg, Lisinopril 10mg, GI referral, anemia labs) are accurately transcribed with no hallucinated or omitted critical facts. However, the note introduces unverified ICD-10 codes (D64.9, I50.9, N20.0) and slightly interpretive language ('sodium indiscretion') not explicitly stated by the clinician, which represents a low-level ambiguity a reviewing physician would need to confirm at sign-off. No critical or moderate patient safety risks were identified.",4,0,3,3,False,1.0,True,2,3,4,3
Experimental Dataset,OpenAI,9,"The AI draft note is well-structured and follows the standard outpatient note format with clear headings and organization. However, there are minor ambiguities regarding the patient's medication management that could lead to confusion, particularly the recommendation to discontinue ibuprofen while starting meloxicam, which may require clarification. Overall, the note is concise and professional but needs slight adjustments for clarity.",4,0,3,3,False,1.0,True,3,3,4,3
Experimental Dataset,Anthropic,9,"The AI draft follows a clear, well-organized outpatient note structure with all standard headings (Chief Complaint, HPI, ROS, Physical Exam, Results, Assessment & Plan) correctly populated and logically ordered, matching or exceeding the Gold Standard's organization (e.g., explicit ROS and Neurological subsections). Minor stylistic embellishments exist (e.g., 'sharp or painful sensation,' 'moderate relief' vs. patient's actual wording 'some relief'), and an unverified ICD-10 code (S39.012A) was added without transcript support, which could introduce coding inaccuracy if not verified by the clinician. The rationale added for discontinuing ibuprofen ('while taking Meloxicam') is a plausible but unstated clinical inference. No critical omissions, contraindicated medications, dosage errors, or missed red-flag symptoms were found; all medications, referrals, and follow-up plans align with the transcript and gold standard. These issues represent low-risk documentation embellishments/inferences rather than safety-critical errors.",4,3,2,3,False,1.0,True,3,3,4,3
Experimental Dataset,OpenAI,10,"The AI-generated note is well-structured and follows the standard outpatient note format with clear headings and organization. However, there are minor ambiguities regarding the assessment of the right knee condition that could lead to misinterpretation of the need for further evaluation or treatment. The note could benefit from clearer delineation of the patient's symptoms and their implications for treatment.",4,0,3,3,False,1.0,True,3,3,4,3
Experimental Dataset,Anthropic,10,"The AI note is well-organized with all standard outpatient headings (CC, HPI, ROS, PE, Results, A&P) and is more detailed/readable than the gold standard, correctly capturing the hyperglycemia, strep, Lyme titer, GERD, CHF, rotator cuff, and thyroid findings. However, it introduces several elements not substantiated by the transcript or physician's stated plan: it labels the strep finding as 'Streptococcal Pharyngitis' (a diagnosis never made by the clinician), assigns a questionable injury-specific ICD code (S80.811A) to an insect bite, and fabricates a claim that 'additional inflammatory/lab workup' was ordered for alpha-gal concern when none was specified. Most notably, the AI inserted an unprompted 'CLINICAL SAFETY FLAG' recommending I&D evaluation and empiric doxycycline for Lyme disease — clinical suggestions never voiced by the physician in the encounter. While flagging fluctuance is clinically reasonable, presenting unvetted treatment recommendations as part of the encounter note risks being mistaken for physician-approved plan if signed without correction, warranting a moderate safety risk rating.",3,1,2,3,False,1.0,True,1,2,4,2
